date,closing,volume,opening,highest,lowest,daily_movement,year,month
2022-02-18,856.98,22833950,886.0,886.87,837.61,-29.019999999999982,2022,2
2022-02-17,876.35,18392810,913.26,918.4999,874.1,-36.90999999999997,2022,2
2022-02-16,923.39,17098130,914.05,926.4299,901.21,9.340000000000032,2022,2
2022-02-15,922.43,19216510,900.0,923.0,893.3774,22.42999999999995,2022,2
2022-02-14,875.76,22585470,861.57,898.8799,853.15,14.18999999999994,2022,2
2022-02-11,860.0,26548620,909.63,915.96,850.7,-49.629999999999995,2022,2
2022-02-10,904.55,22042280,908.37,943.81,896.7,-3.82000000000005,2022,2
2022-02-09,932.0,17419850,935.0,946.2699,920.0,-3.0,2022,2
2022-02-08,922.0,16909670,905.53,926.2899,894.8,16.470000000000027,2022,2
2022-02-07,907.34,20331490,923.79,947.77,902.7089,-16.449999999999932,2022,2
2022-02-04,923.32,24541820,897.22,936.5,881.17,26.100000000000023,2022,2
2022-02-03,891.14,26285190,882.0,937.0,880.52,9.139999999999986,2022,2
2022-02-02,905.66,22264350,928.18,931.5,889.41,-22.519999999999982,2022,2
2022-02-01,931.25,24379450,935.21,943.7,905.0,-3.9600000000000364,2022,2
2022-01-31,936.72,34812030,872.71,937.99,862.05,64.00999999999999,2022,1
2022-01-28,846.35,44929650,831.56,857.5,792.01,14.790000000000077,2022,1
2022-01-27,829.1,49036520,933.36,935.39,829.0,-104.25999999999999,2022,1
2022-01-26,937.41,34955760,952.43,987.69,906.0,-15.019999999999982,2022,1
2022-01-25,918.4,28865300,914.2,951.26,903.21,4.199999999999932,2022,1
2022-01-24,930.0,50791710,904.76,933.5131,851.47,25.24000000000001,2022,1
2022-01-21,943.9,34472010,996.34,1004.55,940.5,-52.440000000000055,2022,1
2022-01-20,996.27,23496250,1009.73,1041.66,994.0,-13.460000000000036,2022,1
2022-01-19,995.65,25147500,1041.705,1054.6699,995.0,-46.05499999999995,2022,1
2022-01-18,1030.51,22329800,1026.605,1070.7899,1016.06,3.9049999999999727,2022,1
2022-01-14,1049.61,24308140,1019.88,1052.0,1013.3788,29.729999999999905,2022,1
2022-01-13,1031.56,32403260,1109.065,1115.6,1026.5391,-77.50500000000011,2022,1
2022-01-12,1106.22,27913010,1078.85,1114.84,1072.5901,27.37000000000012,2022,1
2022-01-11,1064.4,22021070,1053.67,1075.85,1038.82,10.730000000000018,2022,1
2022-01-10,1058.12,30604960,1000.0,1059.1,980.0,58.11999999999989,2022,1
2022-01-07,1026.96,28054920,1080.37,1080.9299,1010.0,-53.409999999999854,2022,1
2022-01-06,1064.7,30112160,1077.0,1088.0,1020.5,-12.299999999999955,2022,1
2022-01-05,1088.12,26706600,1146.65,1170.34,1081.0101,-58.5300000000002,2022,1
2022-01-04,1149.59,33416090,1189.55,1208.0,1123.05,-39.960000000000036,2022,1
2022-01-03,1199.78,34895350,1147.75,1201.07,1136.04,52.02999999999997,2022,1
2021-12-31,1056.78,13577880,1073.4444,1081.9999,1054.59,-16.664400000000114,2021,12
2021-12-30,1070.34,15680310,1061.33,1095.55,1053.15,9.009999999999991,2021,12
2021-12-29,1086.19,18718020,1098.64,1104.0,1064.14,-12.450000000000045,2021,12
2021-12-28,1088.47,20107970,1109.49,1118.9999,1078.42,-21.019999999999982,2021,12
2021-12-27,1093.94,23715270,1073.67,1117.0,1070.7152,20.269999999999982,2021,12
2021-12-23,1067.0,30904430,1006.8,1072.9767,997.56,60.200000000000045,2021,12
2021-12-22,1008.87,31211360,965.66,1015.6599,957.05,43.210000000000036,2021,12
2021-12-21,938.53,23839310,916.87,939.5,886.12,21.659999999999968,2021,12
2021-12-20,899.94,18826670,910.7,921.6884,893.39,-10.759999999999991,2021,12
2021-12-17,932.57,33626750,914.77,960.6599,909.0401,17.800000000000068,2021,12
2021-12-16,926.92,27590480,994.5,994.98,921.85,-67.58000000000004,2021,12
2021-12-15,975.99,25056410,953.21,978.7499,928.2501,22.779999999999973,2021,12
2021-12-14,958.51,23602090,945.0,966.41,930.0,13.509999999999991,2021,12
2021-12-13,966.41,26198500,1001.09,1005.0,951.42,-34.680000000000064,2021,12
2021-12-10,1017.03,19888120,1008.75,1020.9797,982.53,8.279999999999973,2021,12
2021-12-09,1003.8,19812830,1060.64,1062.49,1002.36,-56.840000000000146,2021,12
2021-12-08,1068.96,13968790,1052.71,1072.38,1033.0001,16.25,2021,12
2021-12-07,1051.75,18694860,1044.2,1057.6739,1026.81,7.5499999999999545,2021,12
2021-12-06,1009.01,27221040,1001.51,1021.64,950.5,7.5,2021,12
2021-12-03,1014.97,30774000,1084.79,1090.5753,1000.21,-69.81999999999994,2021,12
2021-12-02,1084.6,24371620,1099.06,1113.0,1056.65,-14.460000000000036,2021,12
2021-12-01,1095.0,22934700,1160.695,1172.8399,1090.76,-65.69499999999994,2021,12
2021-11-30,1144.76,27092040,1144.37,1168.0,1118.0,0.39000000000010004,2021,11
2021-11-29,1136.99,19464470,1100.99,1142.67,1100.19,36.0,2021,11
2021-11-26,1081.92,11680890,1099.47,1108.7827,1081.0,-17.549999999999955,2021,11
2021-11-24,1116.0,22560240,1080.39,1132.77,1062.0,35.6099999999999,2021,11
2021-11-23,1109.03,36171700,1167.51,1180.4999,1062.7,-58.48000000000002,2021,11
2021-11-22,1156.87,33072510,1162.33,1201.95,1132.43,-5.460000000000036,2021,11
2021-11-19,1137.06,21642260,1098.87,1138.7199,1092.7,38.190000000000055,2021,11
2021-11-18,1096.38,20898930,1106.55,1112.0,1075.02,-10.169999999999845,2021,11
2021-11-17,1089.01,31445370,1063.51,1119.64,1055.5,25.5,2021,11
2021-11-16,1054.73,26542360,1003.31,1057.1999,1002.18,51.42000000000007,2021,11
2021-11-15,1013.39,34775650,1017.63,1031.98,978.6,-4.240000000000009,2021,11
2021-11-12,1033.42,25573150,1047.5,1054.5,1019.2,-14.079999999999927,2021,11
2021-11-11,1063.51,22396570,1102.77,1104.97,1054.68,-39.25999999999999,2021,11
2021-11-10,1067.95,42802720,1010.41,1078.1,987.31,57.54000000000008,2021,11
2021-11-09,1023.5,59105840,1173.6,1174.5,1011.52,-150.0999999999999,2021,11
2021-11-08,1162.94,33445720,1149.785,1197.0,1133.0,13.154999999999973,2021,11
2021-11-05,1222.09,21628810,1228.0,1239.87,1208.0,-5.910000000000082,2021,11
2021-11-04,1229.91,25397410,1234.41,1243.49,1217.0,-4.5,2021,11
2021-11-03,1213.86,34628520,1177.33,1215.39,1152.62,36.52999999999997,2021,11
2021-11-02,1172.0,42737800,1159.355,1208.59,1146.0,12.644999999999982,2021,11
2021-11-01,1208.59,56048720,1145.0,1209.75,1118.66,63.58999999999992,2021,11
2021-10-29,1114.0,29918420,1081.86,1115.21,1073.205,32.1400000000001,2021,10
2021-10-28,1077.04,27213170,1068.305,1081.0,1054.2,8.7349999999999,2021,10
2021-10-27,1037.86,38526460,1039.66,1070.88,1030.78,-1.800000000000182,2021,10
2021-10-26,1018.43,62414970,1024.69,1094.94,1001.44,-6.260000000000105,2021,10
2021-10-25,1024.86,62852100,950.53,1045.02,944.2,74.32999999999993,2021,10
2021-10-22,909.68,22880840,895.5,910.0,890.96,14.17999999999995,2021,10
2021-10-21,894.0,31481450,856.0,900.0,855.5046,38.0,2021,10
2021-10-20,865.8,14032050,865.35,869.49,857.38,0.4499999999999318,2021,10
2021-10-19,864.27,17381130,877.53,877.95,862.51,-13.259999999999991,2021,10
2021-10-18,870.11,24207240,851.79,875.26,851.47,18.32000000000005,2021,10
2021-10-15,843.03,18924570,823.738,843.21,822.35,19.291999999999916,2021,10
2021-10-14,818.32,12247170,815.49,820.25,813.3501,2.830000000000041,2021,10
2021-10-13,811.08,14120080,810.47,815.41,805.78,0.6100000000000136,2021,10
2021-10-12,805.72,22020040,800.93,812.32,796.57,4.790000000000077,2021,10
2021-10-11,791.94,14200320,787.65,801.24,785.5,4.290000000000077,2021,10
2021-10-08,785.49,16738600,796.21,796.38,780.91,-10.720000000000027,2021,10
2021-10-07,793.61,19195780,785.46,805.0,783.38,8.149999999999977,2021,10
2021-10-06,782.75,14632770,776.2,786.66,773.22,6.5499999999999545,2021,10
2021-10-05,780.59,18432630,784.796,797.31,774.2,-4.206000000000017,2021,10
2021-10-04,781.53,30483340,796.5,806.9699,776.12,-14.970000000000027,2021,10
2021-10-01,775.22,17031410,778.4,780.78,763.59,-3.17999999999995,2021,10
2021-09-30,775.48,17955960,781.0,789.1305,775.0,-5.519999999999982,2021,9
2021-09-29,781.31,20942880,779.8,793.5,770.68,1.509999999999991,2021,9
2021-09-28,777.56,25381420,787.2,795.64,766.1801,-9.6400000000001,2021,9
2021-09-27,791.36,28070660,773.12,799.0,769.31,18.24000000000001,2021,9
2021-09-24,774.39,21373020,745.89,774.8,744.56,28.5,2021,9
2021-09-23,753.64,11947530,755.0,758.2,747.92,-1.3600000000000136,2021,9
2021-09-22,751.94,15126270,743.5263,753.6699,739.12,8.413700000000063,2021,9
2021-09-21,739.38,16330720,734.79,744.7399,730.44,4.590000000000032,2021,9
2021-09-20,730.17,24757650,734.5577,742.0,718.6249,-4.387699999999995,2021,9
2021-09-17,759.49,28204180,757.15,761.04,750.0,2.340000000000032,2021,9
2021-09-16,756.99,13923390,752.83,758.91,747.61,4.159999999999968,2021,9
2021-09-15,755.83,15357690,745.0,756.86,738.36,10.830000000000041,2021,9
2021-09-14,744.49,18524880,742.57,754.47,736.4,1.919999999999959,2021,9
2021-09-13,743.0,22952480,740.214,744.78,708.85,2.7859999999999445,2021,9
2021-09-10,736.27,15184170,759.6,762.61,734.5201,-23.33000000000004,2021,9
2021-09-09,754.86,14077730,753.41,762.1,751.6301,1.4500000000000455,2021,9
2021-09-08,753.87,18793040,761.58,764.45,740.7733,-7.710000000000036,2021,9
2021-09-07,752.92,20039830,740.0,760.2,739.26,12.919999999999959,2021,9
2021-09-03,733.57,15271050,732.249,734.0,724.2,1.3210000000000264,2021,9
2021-09-02,732.39,12796740,734.5,740.97,730.54,-2.1100000000000136,2021,9
2021-09-01,734.09,13204340,734.08,741.99,731.2701,0.009999999999990905,2021,9
2021-08-31,735.72,20855440,733.0,740.39,726.44,2.7200000000000273,2021,8
2021-08-30,730.91,18604220,714.715,731.0,712.73,16.194999999999936,2021,8
2021-08-27,711.92,13833760,705.0,715.0,702.1001,6.919999999999959,2021,8
2021-08-26,701.16,13214290,708.31,715.4,697.6201,-7.149999999999977,2021,8
